target,Param,mean_PV,sd_PV,hpd_3%_PV,hpd_97%_PV,mcse_mean_PV,mcse_sd_PV,ess_mean_PV,ess_sd_PV,ess_bulk_PV,ess_tail_PV,r_hat_PV,class_PV,FC_PV,SigFactor_PV,Status_PV,mean_CVB,sd_CVB,hpd_3%_CVB,hpd_97%_CVB,mcse_mean_CVB,mcse_sd_CVB,ess_mean_CVB,ess_sd_CVB,ess_bulk_CVB,ess_tail_CVB,r_hat_CVB,class_CVB,FC_CVB,SigFactor_CVB,Status_CVB,CVB_PV
VPS51,Slope,24.075,25.619,1.194,75.819,1.032,0.81,616,500,1135,282,1,NA,3.22041624950018,0.393836381380122,Unchanged,0.991,0.157,0.705,1.28,0.002,0.001,7070,7070,7100,9185,1,NA,-0.0173646434256923,-0.0627922618151049,Unchanged,NA
VPS51,dof,11.17,5.697,2.282,21.657,0.089,0.063,4084,4084,3886,5323,1,NA,2.72368062096069,0.703794029508572,Unchanged,7.448,5.565,0.738,17.883,0.064,0.045,7531,7531,5081,5297,1,NA,2.07800251200127,0.543697737930426,Unchanged,NA
VPS51,k,0.328,1.049,-1.611,2.306,0.018,0.013,3433,3433,3430,3113,1,NA,4.35755200461808,3.01579758122515,Unchanged,-0.378,0.4,-1.156,0.371,0.005,0.004,7368,6138,7723,8306,1,NA,0.754887502163469,1.23670980381496,Unchanged,NA
VPS51,sigma,3.585,0.511,2.683,4.573,0.008,0.006,3681,3681,3523,5636,1,NA,0.74234126891272,0.67078786896725,Unchanged,1.145,0.272,0.602,1.62,0.004,0.003,4749,4749,4889,4339,1,NA,0.399580650539827,0.767873610210066,Unchanged,NA
VPS52,MP,7.208,0.3,6.668,7.814,0.004,0.003,7048,6912,7158,7761,1,NA,0.275497503062062,0.660090624325163,Unchanged,8.787,0.338,8.151,9.432,0.004,0.003,8094,8094,8010,9119,1,NA,0.119766082483317,0.252233604041098,Unchanged,Unchanged Unchanged
VPS52,Max,14.794,1.483,12.181,17.722,0.023,0.016,4182,4182,4160,5633,1,NA,0.0183522744573904,0.00825030665172137,Unchanged,17.584,1.422,14.916,20.221,0.019,0.014,5407,5107,5981,5706,1,NA,0.168377215712056,0.0947724584827973,Unchanged,Unchanged Unchanged
VPS52,Slope,4.512,9.25,0.299,22.183,0.587,0.416,248,248,506,88,1.01,NA,0.804719424280793,0.181730209209057,Unchanged,0.742,0.175,0.444,1.069,0.005,0.003,1264,1256,1349,1578,1,NA,-0.434830513991377,-1.50818349494088,Unchanged,NA
VPS52,dof,10.721,5.631,1.693,20.841,0.081,0.058,4781,4781,3815,4829,1,NA,2.66449091441978,0.692568583913759,Unchanged,9.481,6.426,0.488,20.581,0.187,0.132,1182,1182,522,190,1.01,NA,2.42618867322333,0.586384364118183,Unchanged,NA
VPS52,k,-0.123,0.957,-1.88,1.776,0.014,0.011,4647,3613,4734,5489,1,NA,NA,NA,Unchanged,-0.518,0.754,-2.077,0.756,0.012,0.01,4057,2719,4591,5773,1,NA,1.20945336562895,1.45469158634874,Unchanged,NA
VPS52,sigma,3.046,0.429,2.252,3.869,0.007,0.005,4025,4025,4136,4502,1,NA,0.507284091810745,0.495574247706994,Unchanged,1.73,0.471,0.464,2.333,0.026,0.019,319,319,472,140,1.01,NA,0.995005090079608,1.41117161881578,Unchanged,NA
VRK1,MP,5.721,0.261,5.156,6.022,0.006,0.004,1791,1784,1678,3441,1,NA,-0.0578341637175639,-0.159405653502781,Unchanged,7.708,0.22,7.322,8.157,0.015,0.011,217,217,172,2745,1.05,NA,-0.0692480398214849,-0.180637499503803,Unchanged,Unchanged Unchanged
VRK1,Max,18.597,1.392,15.951,21.209,0.022,0.015,4137,4079,4142,6266,1,NA,0.34841000337638,0.160788356258753,Unchanged,17.377,1.347,15.485,19.288,0.143,0.102,89,89,104,200,1.02,NA,0.151292958207637,0.100576627538076,Unchanged,Unchanged Unchanged
VRK1,Slope,19.999,23.532,1.087,66.231,0.59,0.418,1588,1588,2019,2379,1,NA,2.95280831487598,0.386495141932238,Unchanged,1.589,0.831,0.876,2.093,0.03,0.021,776,776,131,706,1.02,NA,0.663797518736339,1.6499261852596,Unchanged,NA
VRK1,dof,4.724,3.568,0.878,11.359,0.054,0.038,4436,4436,3435,3839,1,NA,1.48213230498717,0.520709937355442,Unchanged,1.135,1.308,0.225,2.945,0.076,0.054,299,299,71,40,1.03,NA,-0.636158263379243,-0.417888984570304,Unchanged,NA
VRK1,k,0.405,1.032,-1.606,2.317,0.017,0.012,3781,3781,3673,5057,1,NA,4.66177809777199,3.22387978107172,Unchanged,-0.069,0.327,-0.815,0.521,0.005,0.005,3903,1858,2953,3016,1.03,NA,-1.69883046527944,-2.97544480466599,Unchanged,NA
VRK1,sigma,3.381,0.806,1.958,4.954,0.015,0.011,2939,2939,2808,2553,1,NA,0.65781816621683,0.472114626326077,Unchanged,0.909,0.853,0.05,2.41,0.079,0.056,118,118,69,50,1.04,NA,0.0665852517496278,0.0840390677853867,Unchanged,NA
VTI1A,MP,5.867,0.293,5.084,6.204,0.006,0.004,2766,2759,3311,3208,1,NA,-0.0214785160801114,-0.0520563205452975,Unchanged,8.462,0.214,8.071,8.878,0.002,0.001,13608,13608,13674,11930,1,NA,0.0653940742391444,0.173518304232606,Unchanged,Unchanged Unchanged
VTI1A,Max,10.948,1.022,9.056,12.915,0.015,0.01,4787,4787,4719,5743,1,NA,-0.415992566625327,-0.224089987072813,Unchanged,16.598,0.944,14.773,18.341,0.01,0.007,8130,8130,8145,9619,1,NA,0.0851233367330032,0.0584221766275259,Unchanged,Unchanged Unchanged
VTI1A,Slope,25.331,26.076,1.189,76.473,0.578,0.409,2036,2036,2565,2659,1,NA,3.29378448334028,0.401041976006905,Unchanged,0.992,0.176,0.679,1.316,0.002,0.001,9881,9815,9957,11932,1,NA,-0.0159095802253053,-0.0546591890842813,Unchanged,NA
VTI1A,dof,3.371,2.504,0.678,7.634,0.039,0.027,4217,4217,3374,4168,1,NA,0.995299967574227,0.429224453451496,Unchanged,10.708,5.857,1.481,21.32,0.055,0.039,11433,11433,7926,5512,1,NA,2.60176657808326,0.632832309907934,Unchanged,NA
VTI1A,k,0.247,0.791,-1.257,1.756,0.011,0.009,4784,4309,4837,5483,1,NA,3.94836723158468,3.11569091962713,Unchanged,-0.28,0.481,-1.205,0.593,0.005,0.004,11049,8551,11254,10313,1,NA,0.321928094887362,0.486036766184265,Unchanged,NA
VTI1A,sigma,2.483,0.687,1.244,3.803,0.012,0.009,3255,3255,3045,2786,1,NA,0.212452411500293,0.164982932660621,Unchanged,1.699,0.251,1.242,2.198,0.003,0.002,7030,7030,8503,4820,1,NA,0.968918904739741,1.92139946362104,Up,NA
VTN,MP,5.376,0.288,5.006,5.934,0.01,0.007,812,812,518,286,1.01,NA,-0.147568369972716,-0.392913995042933,Unchanged,7.98,0.203,7.599,8.363,0.002,0.001,17924,17890,17966,13869,1,NA,-0.0192158650074978,-0.0524030935704018,Unchanged,Unchanged Unchanged
VTN,Max,11.828,0.873,10.18,13.43,0.019,0.013,2158,2158,2156,5625,1,NA,-0.30445375786996,-0.17871208800532,Unchanged,14.921,0.745,13.561,16.36,0.008,0.005,9628,9506,9820,9036,1,NA,-0.0685418479568164,-0.053112393978068,Unchanged,Unchanged Unchanged
VTN,Slope,21.297,25.707,1.325,70.048,1.073,0.78,574,543,877,725,1,NA,3.04353067108698,0.387857883306908,Unchanged,1.067,0.208,0.716,1.462,0.002,0.001,11408,11408,11136,13102,1,NA,0.0892385702122444,0.283307041662802,Unchanged,NA
VTN,dof,10.898,5.8,1.199,21.092,0.136,0.096,1817,1817,771,281,1,NA,2.68811483116654,0.685500741249489,Unchanged,11.259,5.849,1.749,21.654,0.049,0.035,14169,14169,11756,9598,1,NA,2.67415623005061,0.649360530495591,Unchanged,NA
